"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 22, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 21, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 18, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 17, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 16, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 15, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 14, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 11, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 10, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 09, 2022","1,485.0","1,485.0","1,485.0","1,485.0","-","0.00%"
"Mar 08, 2022","1,485.0","1,485.0","1,485.0","1,485.0","0.00K","2.77%"
"Mar 07, 2022","1,445.0","1,445.0","1,445.0","1,445.0","-","0.00%"
"Mar 04, 2022","1,445.0","1,445.0","1,445.0","1,445.0","-","0.00%"
"Mar 03, 2022","1,445.0","1,445.0","1,445.0","1,445.0","0.00K","2.83%"
"Mar 02, 2022","1,405.3","1,400.8","1,414.4","1,400.8","0.00K","3.33%"
"Mar 01, 2022","1,360.0","1,360.0","1,360.0","1,360.0","-","-1.45%"
"Feb 28, 2022","1,380.0","1,380.0","1,380.0","1,380.0","-","2.68%"
"Feb 25, 2022","1,344.0","1,344.0","1,344.0","1,344.0","-","2.99%"
"Feb 24, 2022","1,305.0","1,305.0","1,305.0","1,305.0","-","3.00%"
"Feb 23, 2022","1,267.0","1,267.0","1,267.0","1,267.0","-","-0.63%"
"Feb 22, 2022","1,275.0","1,275.0","1,275.0","1,275.0","-","0.00%"
"Feb 21, 2022","1,275.0","1,275.0","1,275.0","1,275.0","-","0.00%"
"Feb 18, 2022","1,275.0","1,275.0","1,275.0","1,275.0","0.00K","2.33%"
"Feb 17, 2022","1,246.0","1,251.0","1,251.0","1,245.0","0.01K","2.98%"
"Feb 16, 2022","1,210.0","1,210.0","1,210.0","1,210.0","-","0.00%"
"Feb 15, 2022","1,210.0","1,210.0","1,210.0","1,210.0","-","0.00%"