Open,Close,High,Low,Volume,Date
6772,6514,6810,6496,,03/24/22
6450,6704,6710,6440,,03/23/22
6322,6471,6472,6304,,03/22/22
6188,6250,6400,6151,,03/21/22
6571,6116,6749,6105,,03/18/22
6901,6553,6901,6215,,03/17/22
6743,6899,6900,6685,,03/16/22
7280,7280,7280,7280,,03/15/22
7000,6986,7000,6900,,03/14/22
7525,7365,7542,7390,,03/11/22
7700,7680,7720,7665,,03/10/22
7003,7621,7800,7003,,03/09/22
7000,7003,7100,6985,,03/08/22
7000,7225,7100,6950,,03/07/22
7300,6780,7300,6724,,03/04/22
8000,7450,8000,7350,,03/03/22
8200,7821,8757,7780,,03/02/22
7365,8163,8170,7365,,03/01/22
6890,7451,7530,6890,,02/28/22
6912,6718,6993,6600,,02/25/22
6520,7087,7093,6520,,02/24/22
6275,6506,6530,6274,,02/23/22
6160,6354,6357,6160,,02/22/22
6100,6177,6200,6100,,02/21/22
6000,6008,6075,5986,,02/18/22
5845,5967,5970,5807,,02/17/22